title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
Clandestine Childhood ,"Argentina, Spain, Brazil",Drama,"Spanish, Portuguese",2,TRUE,NOT RATED,20/09/2012,112 min,07/05/2013,"2,019",0,1,3768,1,7.1/10,40%,55/100,0,21,18,Low
Amour ,"Austria, France, Germany","Drama, Romance","French, English",1,TRUE,PG-13,20/09/2012,127 min,20/08/2013,"84,951",0,42,16632,4,7.9/10,93%,94/100,1,77,103,High
Bait ,"Australia, Singapore, China","Action, Adventure, Drama, Horror, Thriller",English,6,FALSE,R,20/09/2012,93 min,18/09/2012,"14,506",22,159,154204,16,5.2/10,47%,0,0,0,0,Low
"Day, The ",USA,"Action, Drama, Horror, Sci-Fi, Thriller",English,1,FALSE,R,20/09/2012,87 min,27/11/2012,"11,687",51,167,269508,98,5.2/10,29%,41/100,0,0,2,Low
"Hijacking, A ",Denmark,"Drama, Thriller","Danish, Swedish, English, Japanese, Somali",1,FALSE,R,20/09/2012,103 min,15/10/2013,"14,762",1,3,8005,1,7.2/10,95%,82/100,0,16,26,Low
"Master, The ",USA,Drama,English,1,FALSE,R,21/09/2012,138 min,26/02/2013,"1,31,521",,,,,7.1/10,84%,86/100,1,76,179,High
Unconditional ,USA,"Biography, Crime, Drama",English,1,FALSE,PG-13,21/09/2012,92 min,03/12/2013,"4,381",0,8,5297,0,7.2/10,73%,0,0,0,1,Low
End of Watch ,USA,"Action, Crime, Drama, Thriller","English, Spanish",1,FALSE,R,21/09/2012,109 min,22/01/2013,"2,11,029",,,,,7.6/10,85%,68/100,0,3,10,High
Trouble with the Curve ,USA,"Drama, Sport",English,1,FALSE,PG-13,21/09/2012,111 min,21/12/2012,"56,019",141,5207,1961107,113,6.8/10,51%,58/100,0,2,1,High
Compliance ,USA,"Biography, Crime, Drama, Horror, Thriller",English,1,FALSE,R,26/09/2012,90 min,08/01/2013,"28,690",72,328,210133,24,6.4/10,89%,68/100,0,7,34,Low
"Other Dream Team, The ","USA, Lithuania","Documentary, Sport","English, Lithuanian",2,FALSE,Not Rated,28/09/2012,89 min,14/01/2013,"3,295",17,259,63066,10,8.4/10,87%,69/100,0,0,3,Low
Won't Back Down ,USA,Drama,English,2,FALSE,PG,28/09/2012,121 min,15/01/2013,"5,916",459,1424,557825,216,6.4/10,35%,42/100,0,1,3,Low
Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,USA,Documentary,English,,FALSE,Not Rated,04/10/2012,88 min,04/11/2013,877,28,217,90861,6,7.1/10,92%,79/100,0,0,0,Low
Frankenweenie ,USA,"Animation, Comedy, Family, Horror, Sci-Fi",English,3,TRUE,PG,05/10/2012,87 min,08/01/2013,"89,558",1201,5761,1773505,240,7.0/10,87%,74/100,1,11,49,High
English Vinglish ,India,"Comedy, Drama, Family","Hindi, English, French, Tamil, Telugu",1,FALSE,Not Rated,05/10/2012,134 min,20/11/2012,"30,355",1899,7201,3731158,743,7.9/10,80%,0,0,8,15,Low
Escape Fire: The Fight to Rescue American Healthcare ,"USA, China, Germany","Documentary, News",English,,FALSE,PG-13,05/10/2012,95 min,25/02/2013,477,,,,,7.3/10,77%,67/100,0,5,2,Low
"Wall, The ","Austria, Germany","Drama, Fantasy, Mystery",German,2,TRUE,Not Rated,05/10/2012,108 min,21/10/2013,"5,462",323,2129,719908,145,6.8/10,78%,67/100,0,4,15,Low
"House I Live In, The ","Netherlands, UK, Germany, Japan, Australia, USA",Documentary,English,2,FALSE,Not Rated,05/10/2012,108 min,02/07/2013,"5,019",,,,,7.9/10,94%,77/100,0,4,3,Low
Koch ,USA,"Documentary, Biography, History",English,,FALSE,Not Rated,08/10/2012,100 min,26/08/2013,291,0,0,318,0,6.2/10,89%,71/100,0,0,0,Low
In the House ,France,"Drama, Mystery, Thriller",French,2,TRUE,R,10/10/2012,105 min,,"27,327",91,1055,795804,86,7.4/10,88%,72/100,0,9,22,Low
Atlas Shrugged: Part II ,USA,"Drama, Mystery, Sci-Fi",English,4,TRUE,PG-13,12/10/2012,111 min,19/02/2013,"6,389",1524,2682,1516242,475,5.4/10,4%,26/100,0,0,3,Low
"Big Picture, The ",France,"Drama, Thriller","French, Serbian, English",8,TRUE,Not Rated,12/10/2012,114 min,19/03/2013,"3,203",22,55,113043,13,6.7/10,86%,71/100,0,0,2,Low
Argo ,"USA, UK","Biography, Drama, Thriller","English, Persian, Arabic",3,TRUE,R,12/10/2012,120 min,19/02/2013,"5,32,853",23,51,79173,12,7.7/10,96%,86/100,1,94,152,High
Here Comes the Boom ,USA,"Action, Comedy, Sport","English, Dutch",2,FALSE,PG,12/10/2012,105 min,05/02/2013,"81,884",,,,,6.4/10,40%,40/100,0,0,3,High
"Perks of Being a Wallflower, The ",USA,Drama,English,2,TRUE,PG-13,12/10/2012,103 min,12/02/2013,"4,23,224",212,1909,475313,31,8.0/10,86%,67/100,0,19,49,High
Seven Psychopaths ,"UK, USA","Comedy, Crime","English, Vietnamese",1,FALSE,R,12/10/2012,110 min,29/01/2013,"2,23,163",477,8354,1903753,192,7.2/10,82%,66/100,0,3,21,High
Student of the Year ,India,"Comedy, Drama, Romance",Hindi,3,TRUE,Not Rated,19/10/2012,146 min,12/01/2015,"12,971",751,59345,10673498,5743,5.4/10,50%,0,0,5,22,Low
Greenwich Village: Music That Defined a Generation ,Canada,"Documentary, Music",English,3,FALSE,,20/10/2012,92 min,11/11/2013,264,17,66,20278,0,7.1/10,71%,65/100,0,0,0,Low
Universal Soldier: Day of Reckoning ,USA,"Action, Horror, Mystery, Sci-Fi, Thriller",English,7,TRUE,R,25/10/2012,114 min,22/01/2013,"18,127",392,938,1062442,154,5.1/10,56%,58/100,0,0,0,Low
Gregory Crewdson: Brief Encounters ,USA,"Documentary, Biography, Drama",English,,FALSE,Not Rated,31/10/2012,78 min,21/05/2013,515,,,,,7.4/10,94%,87/100,0,0,1,Low
"Noordzee, Texas ",Belgium,"Drama, Romance","Dutch, German, French, English",3,TRUE,Not Rated,02/11/2012,98 min,18/02/2013,"7,431",44,375,273037,17,7.2/10,81%,63/100,0,3,3,Low
Flight ,"USA, United Arab Emirates","Drama, Thriller",English,1,FALSE,R,02/11/2012,138 min,05/02/2013,"3,02,904",1336,6018,4038871,275,7.3/10,78%,76/100,1,16,42,High
Wreck-It Ralph ,USA,"Animation, Adventure, Comedy, Family, Fantasy",English,8,TRUE,PG,02/11/2012,101 min,05/03/2013,"3,45,007",3450,8304,1698115,285,7.7/10,87%,72/100,1,33,41,High
More Than Honey ,"Switzerland, Germany, Austria",Documentary,"German, Swiss German, English, Mandarin",2,FALSE,Unrated,08/11/2012,95 min,24/12/2013,"3,724",43,605,213053,13,7.6/10,100%,70/100,0,9,5,Low
Deadfall ,"France, USA","Crime, Drama, Thriller",English,1,FALSE,R,09/11/2012,95 min,05/02/2013,"36,474",1111,5908,5868975,517,6.3/10,35%,52/100,0,0,0,Low
Happy People: A Year in the Taiga ,Germany,Documentary,"English, Russian",3,FALSE,Not Rated,15/11/2012,90 min,23/04/2013,"7,121",,,,,7.8/10,87%,74/100,0,1,0,Low
In the Fog ,"Germany, Netherlands, Belarus, Russia, Latvia","Drama, History, War",Russian,2,TRUE,Not Rated,15/11/2012,127 min,16/09/2013,"2,670",5,54,69875,5,6.8/10,87%,78/100,0,3,5,Low
30 Beats ,"France, USA","Comedy, Romance","English, French",1,FALSE,R,16/11/2012,88 min,09/10/2012,850,25,200,366655,75,4.2/10,5%,20/100,0,0,0,Low
Lincoln ,"USA, India","Biography, Drama, History, War",English,2,TRUE,PG-13,16/11/2012,150 min,26/03/2013,"2,28,680",1066,2470,1370278,247,7.4/10,89%,86/100,1,108,242,High
Red Dawn ,USA,"Action, Sci-Fi, Thriller","English, Korean",5,TRUE,PG-13,21/11/2012,93 min,05/03/2013,"69,685",10328,19811,6444445,2880,5.4/10,13%,31/100,0,1,4,High
West of Memphis ,"New Zealand, USA","Documentary, Crime",English,2,FALSE,R,22/11/2012,147 min,06/08/2013,"9,201",,,,,7.9/10,96%,80/100,1,1,9,Low
Comic-Con Episode IV: A Fan's Hope ,USA,Documentary,English,3,FALSE,PG-13,23/11/2012,88 min,10/07/2012,"2,641",18,230,59511,4,7.0/10,83%,64/100,0,0,0,Low
Post Tenebras Lux ,"Mexico, France, Netherlands, Germany",Drama,"Spanish, English, French",1,TRUE,Not Rated,23/11/2012,115 min,19/08/2013,"4,390",77,849,288051,27,6.6/10,54%,69/100,0,6,7,Low
Nativity 2: Danger in the Manger! ,UK,"Comedy, Family",English,1,FALSE,PG,23/11/2012,105 min,19/11/2013,"2,365",22,153,105584,12,5.4/10,36%,0,0,0,0,Low
"Central Park Five, The ",USA,"Documentary, Crime, History",English,3,FALSE,Not Rated,23/11/2012,119 min,23/04/2013,"5,945",28,164,63151,6,7.6/10,93%,79/100,0,10,17,Low
"Dark Truth, A ",Canada,"Action, Thriller",English,1,FALSE,R,29/11/2012,106 min,05/03/2013,"5,557",,,,,5.6/10,8%,31/100,0,1,0,Low
Back to 1942 ,China,Drama,"Mandarin, English, Japanese",2,TRUE,Not Rated,29/11/2012,145 min,14/05/2013,"2,792",326,468,324175,32,6.9/10,36%,41/100,0,24,11,Low
"Collection, The ",USA,"Action, Horror, Thriller",English,4,TRUE,R,30/11/2012,82 min,26/03/2013,"42,300",1468,7558,4568967,551,6.1/10,37%,38/100,0,0,0,High
Young & Wild ,Chile,"Comedy, Drama",Spanish,4,FALSE,NOT RATED,30/11/2012,96 min,29/04/2013,"2,137",11,238,175978,22,6.1/10,0,0,0,4,4,Low
Hecho en México ,Mexico,"Documentary, History, Music, Musical",Spanish,,FALSE,R,30/11/2012,98 min,15/07/2013,611,,,,,7.0/10,0,0,0,0,0,Low
"Werewolf Boy, A ",South Korea,"Fantasy, Romance",Korean,1,FALSE,Not Rated,30/11/2012,122 min,13/08/2013,"5,584",1054,9726,1815392,231,7.4/10,100%,0,0,4,7,Low
Silent Night ,"Canada, USA","Comedy, Horror, Mystery, Thriller",English,1,TRUE,R,04/12/2012,94 min,04/12/2012,"6,913",821,3604,1241159,472,5.2/10,64%,53/100,0,0,0,Low
Playing for Keeps ,USA,"Comedy, Romance, Sport",English,1,FALSE,PG-13,07/12/2012,105 min,05/03/2013,"27,322",11,117,186455,9,5.7/10,4%,27/100,0,0,3,High
Hitchcock ,"USA, UK","Biography, Comedy, Drama, Romance",English,2,TRUE,PG-13,14/12/2012,98 min,12/03/2013,"68,388",,,,,6.8/10,60%,55/100,1,4,28,High
Secret of the Wings ,"USA, India, UK","Animation, Family, Fantasy",English,4,TRUE,G,14/12/2012,75 min,23/10/2012,"9,691",277,2684,2730820,615,7.2/10,60%,0,0,1,5,Low
Smashed ,USA,Drama,English,2,FALSE,R,14/12/2012,81 min,12/03/2013,"15,586",114,602,138037,28,6.8/10,83%,71/100,0,0,10,Low
Chasing Ice ,USA,"Documentary, Biography",English,1,FALSE,PG-13,14/12/2012,75 min,10/09/2013,"7,707",569,6514,2162952,130,7.8/10,96%,75/100,1,9,3,Low
4:44 Last Day on Earth ,"USA, Switzerland, France","Drama, Fantasy, Sci-Fi",English,1,FALSE,R,19/12/2012,82 min,17/07/2012,"4,619",363,1020,2303428,438,4.6/10,48%,54/100,0,0,1,Low
Far Out Isn't Far Enough: The Tomi Ungerer Story ,USA,Documentary,"English, French",1,FALSE,Not Rated,19/12/2012,98 min,21/10/2013,294,10,145,25096,2,7.7/10,91%,73/100,0,6,3,Low
Cirque du Soleil: Worlds Away ,USA,Fantasy,English,1,FALSE,PG,21/12/2012,91 min,12/03/2013,"7,641",35,703,155019,35,6.8/10,45%,51/100,0,0,1,High
Dabangg 2 ,India,"Action, Comedy",Hindi,1,FALSE,Not Rated,21/12/2012,120 min,,"13,461",12222,17405,5562304,6768,4.9/10,36%,0,0,6,6,Low
This Is 40 ,USA,"Comedy, Romance",English,2,TRUE,R,21/12/2012,134 min,22/03/2013,"1,18,929",641,3340,2182935,310,6.2/10,52%,59/100,0,2,11,High
Parental Guidance ,USA,"Comedy, Family",English,2,FALSE,PG,25/12/2012,105 min,26/03/2013,"23,709",24,236,70400,8,6.1/10,17%,36/100,0,1,4,High
"Misérables, Les ","UK, USA","Drama, History, Musical, Romance, War",English,7,TRUE,PG-13,25/12/2012,158 min,22/03/2013,"2,85,352",4548,14201,3329650,287,7.6/10,69%,63/100,1,81,172,High
Django Unchained ,USA,"Drama, Western","English, German, French, Italian",1,FALSE,R,25/12/2012,165 min,16/04/2013,"12,12,833",,,,,8.4/10,86%,81/100,1,56,151,High
Silver Linings Playbook ,USA,"Comedy, Drama, Romance",English,2,TRUE,R,25/12/2012,122 min,30/04/2013,"6,21,539",,,,,7.7/10,92%,81/100,1,88,145,High
Adventures in Zambezia ,South Africa,"Animation, Adventure, Comedy, Family",English,8,TRUE,G,28/12/2012,83 min,06/08/2013,"6,006",72,290,314299,70,5.8/10,25%,0,0,1,4,Low
Citizen Koch ,USA,"Documentary, Drama",English,2,FALSE,,01/01/2013,90 min,02/09/2014,643,42,247,24633,8,6.6/10,54%,52/100,0,1,2,Low
Renoir ,France,"Biography, Drama, History, Romance","French, Italian",4,TRUE,R,02/01/2013,111 min,05/11/2013,"4,788",104,4540,3376579,806,6.6/10,71%,64/100,0,3,11,Low
"Impossible, The ","Spain, USA","Drama, History, Thriller","English, Thai, Swedish",2,TRUE,PG-13,04/01/2013,114 min,23/04/2013,"1,78,066",7626,55637,14169319,1675,7.6/10,81%,73/100,1,27,67,High
Neighbouring Sounds ,Brazil,"Drama, Thriller","Portuguese, English, Mandarin, Persian",1,FALSE,Unrated,04/01/2013,131 min,21/05/2013,"5,633",39,205,137082,18,7.1/10,92%,77/100,0,31,17,Low
Running from Crazy ,USA,"Documentary, Biography, Drama",English,,FALSE,Not Rated,07/01/2013,100 min,28/10/2014,272,,,,,6.5/10,58%,59/100,0,0,0,Low
Hannah Arendt ,"Germany, Luxembourg, France, Israel","Biography, Drama","German, English, French, Hebrew, Latin",2,TRUE,Not Rated,10/01/2013,113 min,19/11/2013,"9,390",47,610,297892,26,7.1/10,87%,69/100,0,5,17,Low
"Hunt, The ","Denmark, Sweden",Drama,"Danish, English, Polish",2,TRUE,R,10/01/2013,115 min,10/12/2013,"2,43,142",536,1995,999618,95,8.3/10,92%,77/100,1,36,66,Low
Zero Dark Thirty ,"USA, United Arab Emirates","Drama, Thriller","English, Arabic",1,FALSE,R,11/01/2013,157 min,19/03/2013,"2,51,496",2759,4290,2804637,1168,7.4/10,91%,95/100,1,87,171,High
Struck by Lightning ,USA,"Comedy, Drama","English, Spanish",1,FALSE,Not Rated,11/01/2013,90 min,21/05/2013,"14,055",1975,20549,2861219,386,6.3/10,28%,41/100,0,2,0,Low
Cycling with Moliere ,France,"Comedy, Drama","French, Italian",6,TRUE,Not Rated,16/01/2013,104 min,,"2,547",13,165,111529,15,6.6/10,76%,61/100,0,1,4,Low
Mother of George ,"Nigeria, USA",Drama,"English, Yoruba",1,FALSE,R,18/01/2013,107 min,04/02/2014,951,0,12,1962,0,6.4/10,93%,77/100,0,7,9,Low
Broken City ,USA,"Crime, Drama, Thriller","English, Spanish",1,FALSE,R,18/01/2013,109 min,30/04/2013,"71,446",912,3491,3633127,239,6.2/10,29%,49/100,0,0,0,High
"Last Stand, The ",USA,"Action, Thriller",English,1,FALSE,R,18/01/2013,107 min,21/05/2013,"1,26,731",62,424,72988,18,6.4/10,61%,54/100,0,1,2,High
Mama ,"Canada, Spain","Horror, Thriller",English,5,TRUE,PG-13,18/01/2013,100 min,07/05/2013,"1,58,261",,,,,6.2/10,65%,57/100,0,11,18,High
Sound City ,USA,"Documentary, Music",English,1,FALSE,Not Rated,18/01/2013,107 min,07/04/2014,"11,438",714,9393,1650049,106,7.8/10,98%,76/100,0,2,3,Low
A.C.O.D. ,USA,Comedy,English,2,FALSE,R,23/01/2013,88 min,14/01/2014,"12,108",202,3093,1069693,165,5.7/10,52%,50/100,0,0,1,Low
Movie 43 ,USA,Comedy,English,26,TRUE,R,25/01/2013,94 min,18/06/2013,"92,937",711,2643,1567010,406,4.3/10,5%,18/100,0,4,5,High
Parker ,USA,"Action, Crime, Thriller",English,2,TRUE,R,25/01/2013,118 min,21/05/2013,"1,05,657",410,1526,884637,94,6.2/10,41%,42/100,0,0,1,High
Hansel & Gretel: Witch Hunters ,"Germany, USA","Action, Fantasy, Horror",English,1,FALSE,R,25/01/2013,88 min,11/06/2013,"1,83,545",534,2946,1024365,173,6.1/10,15%,23/100,0,3,4,High
"Inevitable Defeat of Mister & Pete, The ",USA,Drama,English,1,FALSE,R,25/01/2013,108 min,04/02/2014,"4,855",203,1435,269313,36,7.5/10,89%,61/100,0,0,10,Low
Hello I Must Be Going ,USA,"Comedy, Drama, Romance",English,1,FALSE,R,31/01/2013,95 min,04/02/2013,"5,468",69,387,457239,33,6.2/10,75%,62/100,0,1,2,Low
Bullet to the Head ,USA,"Action, Crime, Thriller",English,3,TRUE,R,01/02/2013,92 min,16/07/2013,"44,741",4,25,13398,7,5.7/10,46%,48/100,0,0,1,High
Hyde Park on Hudson ,UK,"Biography, Comedy, Drama, History",English,1,FALSE,R,01/02/2013,94 min,09/04/2013,"10,692",,,,,5.9/10,37%,55/100,1,1,4,High
The Expedition to the End of the World ,"Denmark, Sweden, Greenland","Documentary, Adventure, Comedy","English, Danish",3,FALSE,Not Rated,06/02/2013,90 min,12/01/2015,461,1,33,10792,1,7.0/10,83%,77/100,0,1,5,Low
I Give It a Year ,"UK, France","Comedy, Romance",English,1,FALSE,R,08/02/2013,97 min,22/10/2013,"34,088",0,1,4364,0,5.7/10,53%,50/100,0,1,1,High
Identity Thief ,USA,"Adventure, Comedy, Crime, Drama","English, Spanish",3,TRUE,R,08/02/2013,111 min,04/06/2013,"1,15,758",1017,12801,4883396,618,5.7/10,19%,35/100,0,1,9,High
Escape from Planet Earth ,"USA, Canada","Animation, Adventure, Comedy, Family, Sci-Fi",English,7,TRUE,PG,15/02/2013,89 min,04/06/2013,"23,328",482,2470,2093853,375,5.9/10,34%,35/100,0,1,0,High
Fire in the Blood ,India,"Documentary, History","English, Hindi, Manipuri, Xhosa",1,FALSE,,21/02/2013,87 min,,552,4,40,7499,2,7.7/10,90%,68/100,0,7,1,Low
New World ,South Korea,"Crime, Drama","Korean, Mandarin",1,TRUE,Not Rated,21/02/2013,134 min,23/07/2013,"17,417",,,,,7.6/10,69%,58/100,0,8,12,Low
"Bless Me, Ultima ",USA,"Biography, Drama, History, War","English, Spanish",2,TRUE,PG-13,22/02/2013,106 min,17/09/2013,"1,235",,,,,6.4/10,71%,65/100,0,3,0,Low
Snitch ,"USA, United Arab Emirates, UK","Action, Drama, Thriller","English, Spanish",2,FALSE,PG-13,22/02/2013,112 min,11/06/2013,"78,118",1867,11634,7624131,584,6.5/10,56%,51/100,0,0,1,High
Bestiaire ,"Canada, France",Documentary,None,1,FALSE,Not Rated,27/02/2013,72 min,19/02/2013,354,22,49,26423,14,6.6/10,86%,71/100,0,0,5,Low
"Last Exorcism Part II, The ","France, USA","Drama, Horror, Thriller",English,5,TRUE,PG-13,01/03/2013,88 min,18/06/2013,"15,105",489,1311,1388157,198,4.0/10,15%,35/100,0,1,2,High
Jack the Giant Slayer ,USA,"Adventure, Fantasy",English,5,TRUE,PG-13,01/03/2013,114 min,18/06/2013,"1,22,870",2,38,75864,8,6.3/10,52%,51/100,0,1,4,High
Citadel ,"Ireland, UK","Drama, Horror, Thriller",English,1,FALSE,R,01/03/2013,84 min,29/01/2013,"6,349",50,191,91917,61,5.5/10,55%,60/100,0,11,7,Low
Phantom ,USA,"Drama, History, Thriller, War",English,1,FALSE,R,01/03/2013,98 min,25/06/2013,"12,785",771,2526,3353728,303,5.9/10,25%,40/100,0,0,0,Low
Broadway Idiot ,USA,"Documentary, Music, Musical",English,,FALSE,NOT RATED,01/03/2013,80 min,11/11/2013,591,1,113,41266,1,7.7/10,65%,51/100,0,1,1,Low
Maidentrip ,USA,"Documentary, Adventure, Biography",English,,FALSE,NOT RATED,01/03/2013,82 min,07/07/2014,"3,411",105,1560,506464,31,7.5/10,83%,70/100,0,2,1,Low
Stoker ,"UK, USA","Drama, Thriller","English, French, Italian",1,FALSE,R,01/03/2013,99 min,18/06/2013,"97,207",,,,,6.8/10,69%,58/100,0,4,45,Low
Quartet ,UK,"Comedy, Drama","English, Italian, Polish, French",2,TRUE,PG-13,01/03/2013,94 min,18/06/2013,"17,887",29,190,100265,9,6.8/10,80%,64/100,1,4,4,High
Child's Pose ,Romania,Drama,Romanian,2,TRUE,Not Rated,08/03/2013,112 min,26/05/2014,"7,184",,462,243734,38,7.4/10,92%,77/100,0,13,6,Low
Dead Man Down ,USA,"Action, Crime, Drama, Thriller","English, French, Albanian, Spanish, Hungarian",1,FALSE,R,08/03/2013,118 min,09/07/2013,"61,273",1692,5899,5382870,488,6.5/10,38%,39/100,0,0,0,High
Don't Stop Believin': Everyman's Journey ,USA,"Documentary, Music",English,1,FALSE,R,08/03/2013,105 min,19/08/2013,"1,167",,,86390,,7.0/10,64%,53/100,0,1,1,Low
Somebody Up There Likes Me ,USA,"Comedy, Romance",English,1,FALSE,Not Rated,08/03/2013,76 min,16/09/2013,"1,397",104,979,1108913,371,5.8/10,70%,58/100,0,1,2,Low
Camille Claudel 1915 ,France,"Biography, Drama",French,3,FALSE,Not Rated,13/03/2013,95 min,24/03/2014,"2,781",0,6,6189,0,6.5/10,80%,65/100,0,4,5,Low
"Gatekeepers, The ","Israel, France","Documentary, History, War","Hebrew, English",,FALSE,PG-13,14/03/2013,101 min,09/07/2013,"5,205",74,123,104179,36,7.6/10,94%,91/100,1,7,10,Low
"Incredible Burt Wonderstone, The ",USA,"Adventure, Comedy, Fantasy","English, Spanish",6,TRUE,PG-13,15/03/2013,100 min,25/06/2013,"67,618",,,,,5.9/10,37%,44/100,0,1,4,High
Come Out and Play ,Mexico,Horror,"English, Spanish",2,TRUE,R,22/03/2013,87 min,17/06/2013,"2,926",284,544,520879,134,4.7/10,50%,44/100,0,0,1,Low
Hunky Dory ,UK,"Comedy, Drama, Music",English,1,TRUE,Not Rated,22/03/2013,110 min,23/07/2013,"1,054",21,81,54579,11,6.2/10,53%,46/100,0,0,1,Low
Admission ,USA,"Comedy, Drama, Romance",English,2,TRUE,PG-13,22/03/2013,107 min,09/07/2013,"31,771",27,522,419546,44,5.7/10,39%,48/100,0,0,0,High
Surviving Progress ,Canada,Documentary,"English, Mandarin, Portuguese, French",2,FALSE,Not Rated,23/03/2013,86 min,25/09/2012,"1,708",13,213,47071,4,7.5/10,72%,59/100,0,0,1,Low
Trance ,"UK, USA, France","Crime, Drama, Mystery, Thriller","English, French",3,TRUE,R,27/03/2013,101 min,23/07/2013,"1,04,723",26,239,129406,9,6.9/10,68%,61/100,0,3,3,Low
Viola ,"Argentina, USA",Drama,Spanish,1,TRUE,NOT RATED,27/03/2013,65 min,24/03/2014,398,39,606,693237,72,6.1/10,91%,82/100,0,3,1,Low
Kiss of the Damned ,USA,"Drama, Horror, Romance",English,1,FALSE,R,28/03/2013,97 min,23/07/2013,"4,288",0,6,4746,0,5.6/10,59%,48/100,0,1,6,Low
G.I. Joe: Retaliation ,USA,"Action, Adventure, Sci-Fi, Thriller",English,2,FALSE,PG-13,28/03/2013,110 min,30/07/2013,"1,65,662",2,66,73431,11,5.8/10,29%,41/100,0,1,11,High
Tyler Perry's Temptation: Confessions of a Marriage Counselor ,USA,"Drama, Thriller",English,2,TRUE,PG-13,29/03/2013,111 min,09/07/2013,"10,983",6312,49954,18214913,5712,5.0/10,15%,26/100,0,1,5,High
Adore ,"Australia, France","Drama, Romance",English,5,TRUE,R,03/04/2013,112 min,10/12/2013,"29,600",608,1660,1885479,207,6.2/10,32%,37/100,0,1,4,Low
Sleepwalk with Me ,USA,Comedy,English,5,TRUE,PG-13,04/04/2013,81 min,18/12/2012,"11,114",,,,,6.8/10,84%,71/100,0,3,4,Low
Redwood Highway ,USA,Drama,English,2,FALSE,PG-13,05/04/2013,90 min,10/06/2014,405,4,26,13708,5,6.4/10,80%,0,0,0,0,Low
Evil Dead ,USA,"Fantasy, Horror, Thriller","English, Welsh",4,TRUE,R,05/04/2013,91 min,16/07/2013,"1,46,593",4654,12941,9365272,1666,6.5/10,63%,57/100,0,6,18,High
"Oversimplification of Her Beauty, An ",USA,"Animation, Comedy, Drama, Romance",English,1,FALSE,R,12/04/2013,84 min,30/09/2013,557,20,355,37094,5,6.3/10,82%,74/100,0,1,2,Low
Simon Killer ,"USA, France","Drama, Thriller","English, French",4,TRUE,Not Rated,12/04/2013,101 min,17/09/2013,"3,796",61,496,197316,51,6.3/10,75%,63/100,0,1,5,Low
"Lords of Salem, The ","USA, UK, Canada","Horror, Thriller",English,1,FALSE,R,18/04/2013,101 min,03/09/2013,"24,952",1429,6186,3003117,817,5.1/10,45%,57/100,0,1,3,Low
Home Run ,USA,"Drama, Sport",English,4,FALSE,PG-13,19/04/2013,113 min,08/10/2013,"2,742",,,,,6.0/10,45%,0,0,0,0,Low
Oblivion ,USA,"Action, Adventure, Sci-Fi",English,3,TRUE,PG-13,19/04/2013,124 min,06/08/2013,"4,52,990",52,522,340752,43,7.0/10,53%,54/100,0,0,14,High
"Place Beyond the Pines, The ",USA,"Crime, Drama, Thriller","English, Spanish",5,TRUE,R,19/04/2013,140 min,23/07/2013,"2,26,993",,,,,7.3/10,80%,68/100,0,4,19,High
Filly Brown ,USA,"Drama, Music",English,1,FALSE,R,19/04/2013,80 min,30/07/2013,985,,,,,5.7/10,42%,57/100,0,3,4,Low
Kon-Tiki ,"UK, Norway, Denmark, Germany, Sweden","Adventure, History","Norwegian, English, French, Swedish",1,FALSE,PG-13,26/04/2013,118 min,27/08/2013,"41,540",110,376,444952,37,7.2/10,82%,62/100,1,12,13,Low
"ABCs of Death, The ","USA, New Zealand","Comedy, Horror","English, Spanish, Japanese, German, French, Korean",20,TRUE,Not Rated,26/04/2013,129 min,21/05/2013,"16,968",420,1420,966735,356,4.7/10,37%,43/100,0,1,1,Low
King's Faith ,USA,Drama,English,2,FALSE,PG-13,26/04/2013,108 min,20/10/2014,662,6,140,47366,4,6.5/10,0,0,0,0,0,Low
Dead Man's Burden ,USA,"Drama, Western",English,1,FALSE,Not Rated,03/05/2013,93 min,10/06/2013,568,,,,,5.5/10,71%,76/100,0,1,2,Low
Free The Mind ,"USA, Sweden, Netherlands, Australia, Finland, Denmark","Documentary, Adventure",English,2,TRUE,NOT RATED,03/05/2013,80 min,23/09/2014,300,34,269,55392,15,6.3/10,73%,51/100,0,0,0,Low
Scatter My Ashes at Bergdorf's ,USA,Documentary,English,1,FALSE,PG-13,03/05/2013,93 min,26/08/2013,737,52,597,211657,22,6.2/10,50%,55/100,0,0,0,Low
"Reluctant Fundamentalist, The ","USA, UK, Qatar","Drama, Thriller","English, Urdu",5,TRUE,R,03/05/2013,130 min,27/08/2013,"12,526",,,,,6.9/10,57%,54/100,0,3,0,Low
"Trials of Muhammad Ali, The ",USA,"Documentary, Biography, Sport, War",English,,FALSE,Not Rated,05/05/2013,86 min,21/04/2014,957,12,167,51134,5,7.4/10,89%,74/100,0,3,6,Low
Gloria ,"Chile, Spain","Comedy, Drama, Romance","Spanish, English",2,TRUE,R,09/05/2013,110 min,28/04/2014,"7,659",,,27427,,6.8/10,99%,83/100,0,19,16,Low
"Painting, The ","France, Belgium, Canada","Animation, Adventure, Drama, Family, Fantasy",French,4,FALSE,Not Rated,10/05/2013,76 min,,"3,298",9,203,57751,6,7.4/10,82%,70/100,0,1,3,Low
